Date,Metcalfe's Law - TX
1/10/2009,0
1/11/2009,0
1/12/2009,0
1/13/2009,0
1/14/2009,0
1/15/2009,0
1/16/2009,0
1/17/2009,0
1/18/2009,0
1/19/2009,0
1/20/2009,0
1/21/2009,0
1/22/2009,0
1/23/2009,0
1/24/2009,0
1/25/2009,0
1/26/2009,0
1/27/2009,0
1/28/2009,0
1/29/2009,0
1/30/2009,0
1/31/2009,0
2/1/2009,0
2/2/2009,0
2/3/2009,0
2/4/2009,0
2/5/2009,0
2/6/2009,0
2/7/2009,0
2/8/2009,0
2/9/2009,0
2/10/2009,0
2/11/2009,0
2/12/2009,0
2/13/2009,0
2/14/2009,0
2/15/2009,0
2/16/2009,0
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,0
2/21/2009,0
2/22/2009,0
2/23/2009,0
2/24/2009,0
2/25/2009,0
2/26/2009,0
2/27/2009,0
2/28/2009,0
3/1/2009,0
3/2/2009,0
3/3/2009,0
3/4/2009,0
3/5/2009,0
3/6/2009,0
3/7/2009,0
3/8/2009,0
3/9/2009,0
3/10/2009,0
3/11/2009,0
3/12/2009,0
3/13/2009,0
3/14/2009,0
3/15/2009,0
3/16/2009,0
3/17/2009,0
3/18/2009,0
3/19/2009,0
3/20/2009,0
3/21/2009,0
3/22/2009,0
3/23/2009,0
3/24/2009,0
3/25/2009,0
3/26/2009,0
3/27/2009,0
3/28/2009,0
3/29/2009,0
3/30/2009,0
3/31/2009,0
4/1/2009,0
4/2/2009,0
4/3/2009,0
4/4/2009,0
4/5/2009,0
4/6/2009,0
4/7/2009,0
4/8/2009,0
4/9/2009,0
4/10/2009,0
4/11/2009,0
4/12/2009,0
4/13/2009,0
4/14/2009,0
4/15/2009,0
4/16/2009,0
4/17/2009,0
4/18/2009,0
4/19/2009,0
4/20/2009,0
4/21/2009,0
4/22/2009,0
4/23/2009,0
4/24/2009,0
4/25/2009,0
4/26/2009,0
4/27/2009,0
4/28/2009,0
4/29/2009,0
4/30/2009,0
5/1/2009,0
5/2/2009,0
5/3/2009,0
5/4/2009,0
5/5/2009,0
5/6/2009,0
5/7/2009,0
5/8/2009,0
5/9/2009,0
5/10/2009,0
5/11/2009,0
5/12/2009,0
5/13/2009,0
5/14/2009,0
5/15/2009,0
5/16/2009,0
5/17/2009,0
5/18/2009,0
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,0
5/27/2009,0
5/28/2009,0
5/29/2009,0
5/30/2009,0
5/31/2009,0
6/1/2009,0
6/2/2009,0
6/3/2009,0
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,0
6/16/2009,0
6/17/2009,0
6/18/2009,0
6/19/2009,0
6/20/2009,0
6/21/2009,0
6/22/2009,0
6/23/2009,0
6/24/2009,0
6/25/2009,0
6/26/2009,0
6/27/2009,0
6/28/2009,0
6/29/2009,0
6/30/2009,0
7/1/2009,0
7/2/2009,0
7/3/2009,0
7/4/2009,0
7/5/2009,0
7/6/2009,0
7/7/2009,0
7/8/2009,0
7/9/2009,0
7/10/2009,0
7/11/2009,0
7/12/2009,0
7/13/2009,0
7/14/2009,0
7/15/2009,0
7/16/2009,0
7/17/2009,0
7/18/2009,0
7/19/2009,0
7/20/2009,0
7/21/2009,0
7/22/2009,0
7/23/2009,0
7/24/2009,0
7/25/2009,0
7/26/2009,0
7/27/2009,0
7/28/2009,0
7/29/2009,0
7/30/2009,0
7/31/2009,0
8/1/2009,0
8/2/2009,0
8/3/2009,0
8/4/2009,0
8/5/2009,0
8/6/2009,0
8/7/2009,0
8/8/2009,0
8/9/2009,0
8/10/2009,0
8/11/2009,0
8/12/2009,0
8/13/2009,0
8/14/2009,0
8/15/2009,0
8/16/2009,0
8/17/2009,0
8/18/2009,0
8/19/2009,0
8/20/2009,0
8/21/2009,0
8/22/2009,0
8/23/2009,0
8/24/2009,0
8/25/2009,0
8/26/2009,0
8/27/2009,0
8/28/2009,0
8/29/2009,0
8/30/2009,0
8/31/2009,0
9/1/2009,0
9/2/2009,0
9/3/2009,0
9/4/2009,0
9/5/2009,0
9/6/2009,0
9/7/2009,0
9/8/2009,0
9/9/2009,0
9/10/2009,0
9/11/2009,0
9/12/2009,0
9/13/2009,0
9/14/2009,0
9/15/2009,0
9/16/2009,0
9/17/2009,0
9/18/2009,0
9/19/2009,0
9/20/2009,0
9/21/2009,0
9/22/2009,0
9/23/2009,0
9/24/2009,0
9/25/2009,0
9/26/2009,0
9/27/2009,0
9/28/2009,0
9/29/2009,0
9/30/2009,0
10/1/2009,0
10/2/2009,0
10/3/2009,0
10/4/2009,0
10/5/2009,0
10/6/2009,0
10/7/2009,0
10/8/2009,0
10/9/2009,0
10/10/2009,0
10/11/2009,0
10/12/2009,0
10/13/2009,0
10/14/2009,0
10/15/2009,0
10/16/2009,0
10/17/2009,0
10/18/2009,0
10/19/2009,0
10/20/2009,0
10/21/2009,0
10/22/2009,0
10/23/2009,0
10/24/2009,0
10/25/2009,0
10/26/2009,0
10/27/2009,0
10/28/2009,0
10/29/2009,0
10/30/2009,0
10/31/2009,0
11/1/2009,0
11/2/2009,0
11/3/2009,0
11/4/2009,0
11/5/2009,0
11/6/2009,0
11/7/2009,0
11/8/2009,0
11/9/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,0
11/13/2009,0
11/14/2009,0
11/15/2009,0
11/16/2009,0
11/17/2009,0
11/18/2009,0
11/19/2009,0
11/20/2009,0
11/21/2009,0
11/22/2009,0
11/23/2009,0
11/24/2009,0
11/25/2009,0
11/26/2009,0
11/27/2009,0
11/28/2009,0
11/29/2009,0
11/30/2009,0
12/1/2009,0
12/2/2009,0
12/3/2009,0
12/4/2009,0
12/5/2009,0
12/6/2009,0
12/7/2009,0
12/8/2009,0
12/9/2009,0
12/10/2009,0
12/11/2009,0
12/12/2009,0
12/13/2009,0
12/14/2009,0
12/15/2009,0
12/16/2009,0
12/17/2009,0
12/18/2009,0
12/19/2009,0
12/20/2009,0
12/21/2009,0
12/22/2009,0
12/23/2009,0
12/24/2009,0
12/25/2009,0
12/26/2009,0
12/27/2009,0
12/28/2009,0
12/29/2009,0
12/30/2009,0
12/31/2009,0
1/1/2010,0
1/2/2010,0
1/3/2010,0
1/4/2010,0
1/5/2010,0
1/6/2010,0
1/7/2010,0
1/8/2010,0
1/9/2010,0
1/10/2010,0
1/11/2010,0
1/12/2010,0
1/13/2010,0
1/14/2010,0
1/15/2010,0
1/16/2010,0
1/17/2010,0
1/18/2010,0
1/19/2010,0
1/20/2010,0
1/21/2010,0
1/22/2010,0
1/23/2010,0
1/24/2010,0
1/25/2010,0
1/26/2010,0
1/27/2010,0
1/28/2010,0
1/29/2010,0
1/30/2010,0
1/31/2010,0
2/1/2010,0
2/2/2010,0
2/3/2010,0
2/4/2010,0
2/5/2010,0
2/6/2010,0
2/7/2010,0
2/8/2010,0
2/9/2010,0
2/10/2010,0
2/11/2010,0
2/12/2010,0
2/13/2010,0
2/14/2010,0
2/15/2010,0
2/16/2010,0
2/17/2010,0
2/18/2010,0
2/19/2010,0
2/20/2010,0
2/21/2010,0
2/22/2010,0
2/23/2010,0
2/24/2010,0
2/25/2010,0
2/26/2010,0
2/27/2010,0
2/28/2010,0
3/1/2010,0
3/2/2010,0
3/3/2010,0
3/4/2010,0
3/5/2010,0
3/6/2010,0
3/7/2010,0
3/8/2010,0
3/9/2010,0
3/10/2010,0
3/11/2010,0
3/12/2010,0
3/13/2010,0
3/14/2010,0
3/15/2010,0
3/16/2010,0
3/17/2010,0
3/18/2010,0
3/19/2010,0
3/20/2010,0
3/21/2010,0
3/22/2010,0
3/23/2010,0
3/24/2010,0
3/25/2010,0
3/26/2010,0
3/27/2010,0
3/28/2010,0
3/29/2010,0
3/30/2010,0
3/31/2010,0
4/1/2010,0
4/2/2010,0
4/3/2010,0
4/4/2010,0
4/5/2010,0
4/6/2010,0
4/7/2010,0
4/8/2010,0
4/9/2010,0
4/10/2010,0
4/11/2010,0
4/12/2010,0
4/13/2010,0
4/14/2010,0
4/15/2010,0
4/16/2010,0
4/17/2010,0
4/18/2010,0
4/19/2010,0
4/20/2010,0
4/21/2010,0
4/22/2010,0
4/23/2010,0
4/24/2010,0
4/25/2010,0
4/26/2010,0
4/27/2010,0
4/28/2010,0
4/29/2010,0
4/30/2010,0
5/1/2010,0
5/2/2010,0
5/3/2010,0
5/4/2010,0
5/5/2010,0
5/6/2010,0
5/7/2010,0
5/8/2010,0
5/9/2010,0
5/10/2010,0
5/11/2010,0
5/12/2010,0
5/13/2010,0
5/14/2010,0
5/15/2010,0
5/16/2010,0
5/17/2010,0
5/18/2010,0
5/19/2010,0
5/20/2010,0
5/21/2010,0
5/22/2010,0
5/23/2010,0
5/24/2010,0
5/25/2010,0
5/26/2010,0
5/27/2010,0
5/28/2010,0
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,0
6/4/2010,0
6/5/2010,0
6/6/2010,0
6/7/2010,0
6/8/2010,0
6/9/2010,0
6/10/2010,0
6/11/2010,0
6/12/2010,0
6/13/2010,0
6/14/2010,0
6/15/2010,0
6/16/2010,0
6/17/2010,0
6/18/2010,0
6/19/2010,0
6/20/2010,0
6/21/2010,0
6/22/2010,0
6/23/2010,0
6/24/2010,0
6/25/2010,0
6/26/2010,0
6/27/2010,0
6/28/2010,0
6/29/2010,0
6/30/2010,0
7/1/2010,0
7/2/2010,0
7/3/2010,0
7/4/2010,0
7/5/2010,0
7/6/2010,0
7/7/2010,0
7/8/2010,0
7/9/2010,0
7/10/2010,0
7/11/2010,0
7/12/2010,0
7/13/2010,0
7/14/2010,0
7/15/2010,0
7/16/2010,0
7/17/2010,0
7/18/2010,0.45
7/19/2010,0.73
7/20/2010,0.65
7/21/2010,0.48
7/22/2010,0.66
7/23/2010,0.58
7/24/2010,0.55
7/25/2010,0.19
7/26/2010,0.08
7/27/2010,0.48
7/28/2010,0.54
7/29/2010,0.06
7/30/2010,0.3
7/31/2010,0.86
8/1/2010,0.95
8/2/2010,0.65
8/3/2010,0.58
8/4/2010,0.33
8/5/2010,0.52
8/6/2010,0.43
8/7/2010,0.65
8/8/2010,0.92
8/9/2010,0.59
8/10/2010,0.63
8/11/2010,0.81
8/12/2010,0.64
8/13/2010,0.61
8/14/2010,0.57
8/15/2010,0.61
8/16/2010,0.82
8/17/2010,0.59
8/18/2010,0.88
8/19/2010,0.75
8/20/2010,0.86
8/21/2010,0.63
8/22/2010,0.81
8/23/2010,0.75
8/24/2010,0.74
8/25/2010,0.71
8/26/2010,0.75
8/27/2010,0.74
8/28/2010,0.97
8/29/2010,0.7
8/30/2010,0.9
8/31/2010,0.86
9/1/2010,0.52
9/2/2010,0.59
9/3/2010,0.8
9/4/2010,0.75
9/5/2010,0.89
9/6/2010,0.78
9/7/2010,0.86
9/8/2010,0.88
9/9/2010,0.7
9/10/2010,0.7
9/11/2010,0.68
9/12/2010,0.8
9/13/2010,0.62
9/14/2010,0.52
9/15/2010,0.53
9/16/2010,0.53
9/17/2010,0.53
9/18/2010,0.65
9/19/2010,0.57
9/20/2010,0.66
9/21/2010,0.47
9/22/2010,0.26
9/23/2010,0.3
9/24/2010,0.34
9/25/2010,0.45
9/26/2010,0.41
9/27/2010,0.56
9/28/2010,0.38
9/29/2010,0.45
9/30/2010,0.21
10/1/2010,0.65
10/2/2010,0.36
10/3/2010,0.44
10/4/2010,0.66
10/5/2010,0.56
10/6/2010,0.63
10/7/2010,0.57
10/8/2010,0.8
10/9/2010,0.97
10/10/2010,0.86
10/11/2010,1.07
10/12/2010,1.15
10/13/2010,1.01
10/14/2010,1.18
10/15/2010,1.07
10/16/2010,1.33
10/17/2010,0.85
10/18/2010,0.82
10/19/2010,0.63
10/20/2010,0.36
10/21/2010,0.47
10/22/2010,0.75
10/23/2010,0.67
10/24/2010,0.79
10/25/2010,0.8
10/26/2010,1.3
10/27/2010,1.13
10/28/2010,1.22
10/29/2010,1.35
10/30/2010,1.56
10/31/2010,1.79
11/1/2010,2.48
11/2/2010,2.19
11/3/2010,2.81
11/4/2010,2.16
11/5/2010,2.41
11/6/2010,2.15
11/7/2010,3.44
11/8/2010,2.92
11/9/2010,2
11/10/2010,2.24
11/11/2010,2.12
11/12/2010,2.17
11/13/2010,3.84
11/14/2010,3.24
11/15/2010,2.54
11/16/2010,0.13
11/17/2010,0.07
11/18/2010,2.19
11/19/2010,0.39
11/20/2010,0.07
11/21/2010,0.08
11/22/2010,0.07
11/23/2010,3.02
11/24/2010,3.44
11/25/2010,0.19
11/26/2010,0.15
11/27/2010,0.7
11/28/2010,2.38
11/29/2010,2.33
11/30/2010,1.98
12/1/2010,1.7
12/2/2010,1.59
12/3/2010,2.11
12/4/2010,2.5
12/5/2010,2
12/6/2010,1.76
12/7/2010,1.6
12/8/2010,1.4
12/9/2010,1.7
12/10/2010,1.57
12/11/2010,2.07
12/12/2010,1.48
12/13/2010,1.2
12/14/2010,1.2
12/15/2010,1.33
12/16/2010,1.34
12/17/2010,1.73
12/18/2010,2.04
12/19/2010,1.81
12/20/2010,1.58
12/21/2010,0.98
12/22/2010,1.42
12/23/2010,1.31
12/24/2010,1.82
12/25/2010,1.74
12/26/2010,1.41
12/27/2010,1.61
12/28/2010,1.81
12/29/2010,1.55
12/30/2010,2
12/31/2010,1.93
1/1/2011,2.02
1/2/2011,1.63
1/3/2011,1.82
1/4/2011,0.85
1/5/2011,1.02
1/6/2011,0.73
1/7/2011,1.61
1/8/2011,1.01
1/9/2011,0.73
1/10/2011,0.84
1/11/2011,0.79
1/12/2011,0.77
1/13/2011,0.93
1/14/2011,0.85
1/15/2011,1.02
1/16/2011,1.37
1/17/2011,1.46
1/18/2011,1.43
1/19/2011,1.29
1/20/2011,1.17
1/21/2011,1.33
1/22/2011,1.16
1/23/2011,0.99
1/24/2011,1.34
1/25/2011,1
1/26/2011,1.64
1/27/2011,1.39
1/28/2011,1.74
1/29/2011,1.29
1/30/2011,1.07
1/31/2011,0.49
2/1/2011,1.37
2/2/2011,2.35
2/3/2011,2.76
2/4/2011,3.01
2/5/2011,3.02
2/6/2011,3.45
2/7/2011,3.52
2/8/2011,3.36
2/9/2011,3.52
2/10/2011,2.67
2/11/2011,1.44
2/12/2011,1.3
2/13/2011,1.69
2/14/2011,1.79
2/15/2011,1.6
2/16/2011,1.44
2/17/2011,1.5
2/18/2011,1.36
2/19/2011,1.34
2/20/2011,1.82
2/21/2011,1.32
2/22/2011,1.27
2/23/2011,1.21
2/24/2011,1.17
2/25/2011,1.41
2/26/2011,1.37
2/27/2011,1.51
2/28/2011,1.18
3/1/2011,1.59
3/2/2011,0.96
3/3/2011,1.47
3/4/2011,0.83
3/5/2011,1.39
3/6/2011,1.35
3/7/2011,1.28
3/8/2011,1.4
3/9/2011,1.04
3/10/2011,1.46
3/11/2011,1.65
3/12/2011,1.47
3/13/2011,0.87
3/14/2011,0.99
3/15/2011,0.98
3/16/2011,0.89
3/17/2011,0.73
3/18/2011,0.75
3/19/2011,0.85
3/20/2011,0.73
3/21/2011,0.55
3/22/2011,0.34
3/23/2011,1.02
3/24/2011,0.53
3/25/2011,1.19
3/26/2011,1.33
3/27/2011,0.74
3/28/2011,0.98
3/29/2011,0.74
3/30/2011,0.92
3/31/2011,1.45
4/1/2011,1.13
4/2/2011,1.56
4/3/2011,1.33
4/4/2011,1.34
4/5/2011,0.86
4/6/2011,1
4/7/2011,1.2
4/8/2011,1.39
4/9/2011,1.29
4/10/2011,1.34
4/11/2011,1.31
4/12/2011,1.19
4/13/2011,1.27
4/14/2011,1.14
4/15/2011,0.91
4/16/2011,1.51
4/17/2011,1.67
4/18/2011,1.43
4/19/2011,1.07
4/20/2011,0.94
4/21/2011,1.12
4/22/2011,1.92
4/23/2011,1.95
4/24/2011,2.08
4/25/2011,1.98
4/26/2011,1.82
4/27/2011,1.44
4/28/2011,1.13
4/29/2011,2.05
4/30/2011,2.12
5/1/2011,2.12
5/2/2011,2.2
5/3/2011,2.98
5/4/2011,3.26
5/5/2011,3.6
5/6/2011,2.72
5/7/2011,2.96
5/8/2011,2.66
5/9/2011,3.67
5/10/2011,3.08
5/11/2011,4.87
5/12/2011,5
5/13/2011,5.11
5/14/2011,5.34
5/15/2011,4.64
5/16/2011,5.02
5/17/2011,5.07
5/18/2011,4.54
5/19/2011,3.3
5/20/2011,4.09
5/21/2011,3.33
5/22/2011,3.34
5/23/2011,3.33
5/24/2011,3.29
5/25/2011,3.34
5/26/2011,3.36
5/27/2011,3.31
5/28/2011,4.79
5/29/2011,4.55
5/30/2011,4.68
5/31/2011,4.44
6/1/2011,3.83
6/2/2011,3.76
6/3/2011,3.79
6/4/2011,4.17
6/5/2011,5
6/6/2011,5.09
6/7/2011,4.75
6/8/2011,6.04
6/9/2011,6
6/10/2011,5.79
6/11/2011,5.29
6/12/2011,3.67
6/13/2011,3.37
6/14/2011,4.52
6/15/2011,3.26
6/16/2011,3.78
6/17/2011,3.45
6/18/2011,3.35
6/19/2011,3.56
6/20/2011,3.73
6/21/2011,3.96
6/22/2011,4.44
6/23/2011,3.76
6/24/2011,4.21
6/25/2011,3.92
6/26/2011,4.52
6/27/2011,3.87
6/28/2011,3.6
6/29/2011,3.94
6/30/2011,4.24
7/1/2011,4.3
7/2/2011,3.61
7/3/2011,5.03
7/4/2011,4.7
7/5/2011,3.63
7/6/2011,3.58
7/7/2011,3.54
7/8/2011,4.19
7/9/2011,4.27
7/10/2011,4.78
7/11/2011,4.39
7/12/2011,3.45
7/13/2011,4.33
7/14/2011,3.9
7/15/2011,4.03
7/16/2011,4.29
7/17/2011,3.99
7/18/2011,4.05
7/19/2011,3.78
7/20/2011,3.84
7/21/2011,3.93
7/22/2011,4.3
7/23/2011,3.81
7/24/2011,4.81
7/25/2011,4.17
7/26/2011,3.82
7/27/2011,4.32
7/28/2011,4.45
7/29/2011,4.24
7/30/2011,4.81
7/31/2011,5.86
8/1/2011,4.14
8/2/2011,3.95
8/3/2011,3.66
8/4/2011,3.24
8/5/2011,3.27
8/6/2011,3.36
8/7/2011,2.96
8/8/2011,3.02
8/9/2011,2.72
8/10/2011,2.71
8/11/2011,3.11
8/12/2011,3.2
8/13/2011,3.36
8/14/2011,3.38
8/15/2011,3.74
8/16/2011,3.52
8/17/2011,2.85
8/18/2011,3.64
8/19/2011,3.66
8/20/2011,3.97
8/21/2011,4.2
8/22/2011,3.86
8/23/2011,3.56
8/24/2011,3.95
8/25/2011,3.75
8/26/2011,3.56
8/27/2011,2.91
8/28/2011,3.53
8/29/2011,4.39
8/30/2011,2.76
8/31/2011,2.94
9/1/2011,2.93
9/2/2011,3.03
9/3/2011,3.08
9/4/2011,3.84
9/5/2011,2.92
9/6/2011,2.83
9/7/2011,2.18
9/8/2011,2.66
9/9/2011,2.67
9/10/2011,1.85
9/11/2011,2.14
9/12/2011,2.37
9/13/2011,2.54
9/14/2011,2.31
9/15/2011,2.33
9/16/2011,2.02
9/17/2011,2.03
9/18/2011,2.37
9/19/2011,2.27
9/20/2011,2.06
9/21/2011,1.95
9/22/2011,1.85
9/23/2011,2.37
9/24/2011,2.34
9/25/2011,2.52
9/26/2011,2.45
9/27/2011,2.34
9/28/2011,2.11
9/29/2011,2.09
9/30/2011,2.36
10/1/2011,2.26
10/2/2011,2.47
10/3/2011,2.66
10/4/2011,1.99
10/5/2011,2.37
10/6/2011,2.24
10/7/2011,2.11
10/8/2011,1.98
10/9/2011,2.01
10/10/2011,1.99
10/11/2011,1.86
10/12/2011,1.72
10/13/2011,1.88
10/14/2011,2.24
10/15/2011,1.73
10/16/2011,1.85
10/17/2011,1.96
10/18/2011,1.24
10/19/2011,1.35
10/20/2011,1.24
10/21/2011,1.37
10/22/2011,1.32
10/23/2011,1.52
10/24/2011,1.49
10/25/2011,1.26
10/26/2011,1.43
10/27/2011,1.37
10/28/2011,1.71
10/29/2011,1.76
10/30/2011,1.63
10/31/2011,1.91
11/1/2011,1.65
11/2/2011,1.44
11/3/2011,1.42
11/4/2011,1.31
11/5/2011,1.3
11/6/2011,1.37
11/7/2011,1.59
11/8/2011,1.42
11/9/2011,1.36
11/10/2011,1.16
11/11/2011,1.18
11/12/2011,1.57
11/13/2011,1.72
11/14/2011,1.4
11/15/2011,1.14
11/16/2011,0.95
11/17/2011,1.1
11/18/2011,1.21
11/19/2011,1.11
11/20/2011,1.27
11/21/2011,1.2
11/22/2011,1.23
11/23/2011,1.15
11/24/2011,1.13
11/25/2011,1.3
11/26/2011,1.23
11/27/2011,1.44
11/28/2011,1.31
11/29/2011,1.13
11/30/2011,1.11
12/1/2011,1.13
12/2/2011,1.23
12/3/2011,1.36
12/4/2011,1.3
12/5/2011,1.44
12/6/2011,1.2
12/7/2011,0.97
12/8/2011,1.27
12/9/2011,1.37
12/10/2011,1.43
12/11/2011,1.42
12/12/2011,1.67
12/13/2011,1.7
12/14/2011,1.67
12/15/2011,1.46
12/16/2011,1.67
12/17/2011,1.7
12/18/2011,1.84
12/19/2011,1.83
12/20/2011,1.6
12/21/2011,1.62
12/22/2011,1.88
12/23/2011,1.74
12/24/2011,1.91
12/25/2011,2.29
12/26/2011,2.11
12/27/2011,1.88
12/28/2011,2.13
12/29/2011,2.19
12/30/2011,2.21
12/31/2011,2.26
1/1/2012,2.42
1/2/2012,2.83
1/3/2012,2.52
1/4/2012,2.29
1/5/2012,2.42
1/6/2012,2.46
1/7/2012,2.7
1/8/2012,2.91
1/9/2012,2.97
1/10/2012,2.7
1/11/2012,2.6
1/12/2012,2.45
1/13/2012,2.59
1/14/2012,2.55
1/15/2012,2.51
1/16/2012,2.98
1/17/2012,2.5
1/18/2012,2.23
1/19/2012,2.38
1/20/2012,2.36
1/21/2012,2.51
1/22/2012,2.6
1/23/2012,3.15
1/24/2012,2.66
1/25/2012,2.22
1/26/2012,1.85
1/27/2012,2.29
1/28/2012,2.22
1/29/2012,2.46
1/30/2012,2.24
1/31/2012,2.4
2/1/2012,2.02
2/2/2012,2.35
2/3/2012,2.24
2/4/2012,2.15
2/5/2012,2.09
2/6/2012,2.2
2/7/2012,2.35
2/8/2012,2.13
2/9/2012,2.04
2/10/2012,1.99
2/11/2012,1.73
2/12/2012,1.92
2/13/2012,2.08
2/14/2012,1.67
2/15/2012,1.19
2/16/2012,1.18
2/17/2012,1.16
2/18/2012,1.73
2/19/2012,1.72
2/20/2012,1.99
2/21/2012,1.74
2/22/2012,1.82
2/23/2012,1.61
2/24/2012,1.54
2/25/2012,1.87
2/26/2012,2.05
2/27/2012,2.29
2/28/2012,1.87
2/29/2012,1.92
3/1/2012,1.83
3/2/2012,1.89
3/3/2012,1.59
3/4/2012,2.33
3/5/2012,2
3/6/2012,1.83
3/7/2012,2.03
3/8/2012,1.95
3/9/2012,1.96
3/10/2012,1.94
3/11/2012,2.44
3/12/2012,2.63
3/13/2012,1.99
3/14/2012,1.84
3/15/2012,2.03
3/16/2012,2.19
3/17/2012,2.05
3/18/2012,1.95
3/19/2012,2.29
3/20/2012,1.86
3/21/2012,1.91
3/22/2012,1.79
3/23/2012,1.87
3/24/2012,2.02
3/25/2012,1.93
3/26/2012,1.94
3/27/2012,1.77
3/28/2012,1.88
3/29/2012,1.77
3/30/2012,1.58
3/31/2012,1.86
4/1/2012,2.07
4/2/2012,2.3
4/3/2012,1.99
4/4/2012,1.65
4/5/2012,1.76
4/6/2012,1.82
4/7/2012,1.92
4/8/2012,2.11
4/9/2012,2.16
4/10/2012,1.89
4/11/2012,1.44
4/12/2012,1.54
4/13/2012,1.57
4/14/2012,1.73
4/15/2012,1.59
4/16/2012,1.78
4/17/2012,1.47
4/18/2012,1.61
4/19/2012,1.52
4/20/2012,1.69
4/21/2012,1.63
4/22/2012,1.86
4/23/2012,2.2
4/24/2012,1.78
4/25/2012,1.72
4/26/2012,1.76
4/27/2012,1.24
4/28/2012,1.89
4/29/2012,1.72
4/30/2012,1.62
5/1/2012,1.34
5/2/2012,1.19
5/3/2012,1.28
5/4/2012,0.88
5/5/2012,0.84
5/6/2012,0.98
5/7/2012,1.11
5/8/2012,0.64
5/9/2012,0.68
5/10/2012,0.67
5/11/2012,0.88
5/12/2012,0.68
5/13/2012,0.63
5/14/2012,0.77
5/15/2012,0.39
5/16/2012,0.5
5/17/2012,0.71
5/18/2012,0.68
5/19/2012,0.48
5/20/2012,0.3
5/21/2012,0.39
5/22/2012,0.35
5/23/2012,0.48
5/24/2012,0.43
5/25/2012,0.43
5/26/2012,0.39
5/27/2012,0.51
5/28/2012,0.43
5/29/2012,0.38
5/30/2012,0.38
5/31/2012,0.46
6/1/2012,0.58
6/2/2012,0.44
6/3/2012,0.97
6/4/2012,0.33
6/5/2012,0.24
6/6/2012,0.27
6/7/2012,0.74
6/8/2012,0.37
6/9/2012,0.53
6/10/2012,0.37
6/11/2012,0.3
6/12/2012,0.37
6/13/2012,0.66
6/14/2012,0.23
6/15/2012,0.2
6/16/2012,0.24
6/17/2012,0.33
6/18/2012,0.31
6/19/2012,0.36
6/20/2012,0.38
6/21/2012,0.45
6/22/2012,0.56
6/23/2012,0.67
6/24/2012,0.66
6/25/2012,0.66
6/26/2012,0.49
6/27/2012,0.47
6/28/2012,0.48
6/29/2012,0.55
6/30/2012,0.65
7/1/2012,0.69
7/2/2012,0.79
7/3/2012,0.6
7/4/2012,0.7
7/5/2012,0.64
7/6/2012,0.69
7/7/2012,0.62
7/8/2012,0.6
7/9/2012,0.78
7/10/2012,0.61
7/11/2012,0.45
7/12/2012,0.51
7/13/2012,0.69
7/14/2012,0.72
7/15/2012,0.78
7/16/2012,0.64
7/17/2012,0.58
7/18/2012,0.53
7/19/2012,0.61
7/20/2012,0.64
7/21/2012,0.51
7/22/2012,0.56
7/23/2012,0.51
7/24/2012,0.62
7/25/2012,0.66
7/26/2012,0.75
7/27/2012,0.64
7/28/2012,0.73
